 o	14276553
 h	10644730
e 	10348503
 e	10193070
n 	9286193
o 	8821865
 a	8466878
 n	8092956
te	7188339
a 	6757263
t 	6455910
 i	6161675
h 	6087047
i 	5941089
et	5608823
 r	4877286
ae	4578415
l 	4509387
r 	4507219
s 	4382282
ie	3768693
es	3745746
 u	3745109
ad	3733660
oe	3586360
ee	3448385
ig	3304413
  	3024510
 f	2991423
sa	2871300
 t	2804112
to	2803313
nt	2802636
ta	2718534
ea	2615196
ot	2592978
ei	2551463
u 	2547083
ne	2463414
 s	2431817
tr	2427859
in	2385540
ai	2361677
at	2276782
c 	2097845
 l	2072864
ra	2052282
ti	1981292
so	1981018
os	1978861
si	1889386
fr	1881008
al	1858349
re	1854029
eo	1840619
ih	1782837
ht	1772976
as	1737471
rt	1735432
rs	1734770
st	1682726
er	1665679
hs	1641340
se	1611145
tt	1604363
dt	1591511
ii	1561367
hr	1555016
mn	1537805
ec	1531301
ni	1514212
ed	1492891
ep	1491598
d 	1486138
it	1474278
gt	1473993
ue	1438706
ns	1438643
cn	1411002
m 	1403003
tn	1397243
is	1387632
hn	1382217
ol	1356535
yu	1346677
or	1337560
na	1317318
rn	1313165
pr	1299591
ut	1285100
il	1284756
ri	1282981
oi	1277225
sr	1251415
el	1235504
ia	1230975
on	1228204
po	1212539
g 	1187818
en	1155732
ls	1125790
da	1124123
rc	1120877
v 	1094316
od	1093725
lt	1086698
oa	1078924
no	1066816
sn	1055865
 p	1055493
ts	1039996
rm	1037506
vr	1034078
wt	1033426
pe	1018523
ce	1015874
ln	993067
ss	991412
b 	982551
ef	974648
td	969800
ud	951502
ft	932938
ew	923029
dn	919252
ao	909950
ds	900764
ci	897485
rd	895183
la	894887
' 	893142
ro	882647
em	865713
tl	864088
nl	861128
le	855427
ac	854733
wr	851698
tm	847446
 y	836304
mt	830768
cs	829235
tc	819795
dr	814719
aa	813929
cm	808769
sm	804947
cu	803743
lo	802774
eh	790597
k 	784861
di	780854
an	779187
om	778355
ui	775904
mr	774755
y 	772498
nr	771685
eb	761622
sc	761354
ey	760773
ga	760216
fe	749951
ca	748167
be	747237
Te	745617
cl	738907
e.	738477
eu	731656
og	730744
 c	730564
lc	727491
e,	724833
ya	723109
sl	709861
sd	707869
de	701846
nw	701076
ok	698119
,a	697082
w 	696992
rl	696279
bt	687169
uh	685839
pi	683720
ms	678290
ay	676252
op	675199
ak	673319
dc	672429
ly	665791
pa	650638
rp	650621
ul	647883
yt	644047
sw	640466
cr	639585
