 o	22480865
 e	20667684
e 	20154040
  	17311749
 h	15833669
 a	14820227
n 	14382439
o 	14225194
 n	12410588
te	11158285
t 	11097559
i 	10779249
et	10553171
a 	10487740
 i	10139261
h 	9453841
ae	8935499
 r	8766979
s 	8416137
r 	8104429
l 	8067841
ie	7375995
oe	7050593
es	6820278
 u	6165480
ee	5857719
 s	5453791
ad	5444882
to	5437564
tr	5372560
sa	5129376
nt	5007074
ig	5004640
ot	4992023
 t	4891623
 f	4858127
ei	4838662
in	4813691
ne	4650270
ea	4570105
ai	4373252
ta	4141425
c 	4086673
 l	4084524
at	3957101
u 	3929466
rt	3784608
ra	3567414
ti	3565419
as	3499385
re	3406880
os	3385142
ef	3377606
rs	3361781
al	3361654
er	3270952
ed	3242745
fr	3234903
so	3232141
d 	3200808
eo	3178810
it	3117372
st	3108795
ec	3104364
si	3094181
sl	3068954
sr	3052177
ii	3025662
ue	3020929
se	3002220
ni	2774122
m 	2760544
tt	2758478
ih	2711149
dt	2707167
pr	2650845
ns	2619064
mn	2618829
rn	2547099
ls	2540873
cn	2537802
ep	2531611
gt	2519991
hr	2496141
hs	2466164
is	2464694
ri	2424377
rc	2404483
ht	2332156
 p	2309254
ia	2280384
tn	2274367
ut	2263959
rm	2228362
ts	2205733
pe	2179473
hn	2170110
el	2148045
eu	2127230
ol	2117476
ss	2074616
na	2058745
ln	2041342
g 	2032441
oi	2026506
vr	2008833
po	1980564
ce	1956036
ci	1955841
td	1955717
no	1926386
le	1914591
' 	1914221
en	1890189
sn	1888457
oa	1884383
tm	1876930
on	1863771
or	1862280
lt	1841228
e.	1838550
il	1819105
cl	1815710
pi	1813507
ac	1810021
od	1808096
mt	1789677
dr	1780461
rd	1761355
yu	1759452
v 	1728917
cm	1725473
ro	1723973
l.	1719335
dc	1698778
da	1692763
nl	1683983
b 	1682485
 y	1677781
ds	1625453
tc	1616201
be	1590843
ao	1590530
aa	1589113
dn	1572478
f 	1568900
nr	1562848
lc	1557912
 c	1555396
sc	1553158
df	1550260
wt	1541835
em	1538513
 x	1527491
cs	1516008
ca	1504479
fe	1500323
om	1489154
an	1471239
la	1465911
sm	1463238
ga	1460139
ft	1440174
ew	1430152
wr	1417471
sd	1390306
ud	1385634
rp	1380809
tl	1365463
e,	1358736
 m	1337361
ui	1331931
nm	1328689
y 	1324336
lo	1316597
rl	1310479
cr	1304731
k 	1302211
ag	1300748
p 	1286163
tp	1280637
eb	1278312
fl	1265992
op	1257158
de	1245125
ak	1244779
id	1243064
bt	1229692
ml	1224160
co	1218934
di	1213885
ms	1212470
,a	1209362
ly	1202231
ul	1194789
cu	1193910
fo	1156593
rg	1155176
mr	1153030
ah	1136136
pn	1134229
 v	1132066
eh	1129453
ap	1103382
ps	1092693
fc	1092479
Te	1075269
nw	1063448
un	1058763
pa	1057110
iy	1050401
w 	1039424
us	1036598
ok	1036052
 d	1017936
pt	1016057
vl	1014816
do	1013203
yt	1012360
eg	1011544
sb	1007725
fn	1000718
ey	997624
''	995456
ay	987938
dl	983090
tb	979548
au	978724
fa	975886
ws	968680
rb	962399
.T	960355
nn	956199
ya	947485
,t	946022
pc	945381
ru	945158
wi	943816
 b	942391
md	939361
hl	938890
ge	929950
rr	929056
dd	928000
sp	927261
nd	927218
sw	921979
ty	920929
ar	919567
sf	913401
og	907642
rf	899704
oh	897412
ma	895026
lr	887008
go	875617
ev	873643
ou	868577
iu	863751
