  	28709760
 e	21415128
e 	20082641
 o	17059795
 a	13094258
o 	11209306
 h	10863540
n 	10617106
et	10143857
i 	9946910
t 	9577220
 n	9004107
ae	8922416
te	8268642
s 	8267784
 i	8235871
 r	8001421
a 	7768757
r 	7399737
ie	7386110
l 	7323548
oe	7091598
h 	7011441
es	6319580
 s	6154431
tr	5999827
to	5395998
 u	5013355
ee	4975705
in	4965417
ot	4917428
ef	4850281
sl	4750472
ei	4690460
sa	4646815
nt	4536460
ne	4485760
 t	4303451
rt	4177243
ai	4131165
 l	4118310
c 	4073105
ea	4028886
 f	3869835
sr	3658291
as	3602929
ad	3592641
ed	3568953
ig	3551018
d 	3496885
at	3464961
it	3353894
rs	3332959
er	3286967
ti	3258466
ue	3229831
ec	3216473
re	3190090
ra	3124424
al	3091226
ii	2999568
ta	2969643
st	2928683
os	2902634
l.	2894548
u 	2883617
ls	2881336
se	2855447
eu	2824412
fr	2793480
m 	2778934
pr	2761650
eo	2760209
rc	2618134
so	2592473
ni	2588702
 p	2555521
rn	2527611
f 	2523376
si	2495630
rm	2428829
ns	2426359
tt	2381274
ts	2378799
pe	2368188
ri	2341197
cn	2317820
dt	2304444
pi	2290579
e.	2233611
mn	2232070
is	2217271
ss	2211492
df	2190017
cl	2187100
gt	2159116
ci	2157474
le	2157290
ia	2154762
ep	2147953
ln	2143135
 x	2119196
tm	2097518
dc	2085245
' 	2082832
td	2017284
ut	2016239
vr	1997187
''	1990386
dr	1968546
mt	1956270
hr	1953749
ac	1950770
ih	1937828
ce	1926559
el	1881311
cm	1870819
nm	1854226
tn	1817925
p 	1786438
rd	1773682
no	1767744
g 	1743359
hs	1724473
be	1723250
ro	1722862
 y	1721035
sn	1713270
lc	1693900
nl	1684878
 c	1682846
oa	1660695
fl	1652014
tp	1641756
hn	1638750
tc	1630089
sc	1618223
nr	1617420
ag	1607130
po	1591961
aa	1588093
ol	1583650
un	1567649
lt	1558517
oi	1556763
ca	1546668
na	1542899
fe	1534866
en	1521558
rp	1490645
ds	1490376
od	1478538
 m	1461431
om	1457707
b 	1446029
ga	1434363
an	1419533
cs	1411288
ao	1402517
sd	1397088
em	1384988
ps	1378967
cr	1361401
rg	1354217
sm	1353183
rr	1351310
dn	1348319
 O	1331755
co	1330944
on	1327123
v 	1319007
dl	1311031
au	1306420
e,	1300826
vl	1290697
id	1265448
rl	1260040
fn	1238136
cd	1224367
fa	1219293
 d	1212936
ml	1210442
md	1207133
pt	1203279
ht	1199227
op	1196715
pn	1191928
da	1188490
la	1182824
ak	1173555
wr	1170322
e-	1168720
tb	1163398
ui	1148035
rb	1145611
y 	1138858
-e	1138680
il	1127986
ul	1125354
 v	1120793
pc	1119630
de	1118533
nd	1117950
bt	1116319
x 	1114693
or	1110405
 E	1109657
E 	1109266
fc	1107124
ly	1103813
ah	1102407
ms	1099245
fo	1079602
lb	1073126
iy	1072408
ye	1070652
k 	1070426
eb	1069416
 b	1065305
lo	1064212
wt	1063903
ft	1057012
,a	1056271
ew	1056267
tl	1042131
sb	1037515
ap	1029225
l,	1024958
ou	1006844
nn	999681
sp	985508
fs	985113
wi	983111
:r	968705
rf	957275
-a	956411
bs	953023
ba	949331
ir	948762
ma	947254
 w	946508
,s	941077
us	940429
ky	939547
..	938051
eg	931413
,t	922511
.e	916832
e:	916225
ud	911634
 A	910815
dd	908041
,,	907213
di	901650
ip	893566
yu	886932
tf	884594
mo	880691
me	876739
 '	874349
cp	873994
tu	867036
-o	864516
gs	862846
s,	862388
fi	850934
pa	842575
ld	840286
uc	823688
ev	823164
.T	820990
.,	817551
cu	816962
ge	815122
ty	809113
ru	805527
tv	804320
,n	803876
ar	803421
do	803151
- 	798441
s.	796221
tx	795121
mr	791863
.o	790408
nc	789436
I 	783657
sf	782072
mi	778022
xe	777176
.a	776303
of	770039
Nn	766134
yt	765965
t.	764688
ct	763899
gr	763528
dp	760344
 ,	757666
nw	756699
iu	755607
 -	755579
,'	754301
lr	745711
sg	741136
lg	740874
n,	732342
ws	731108
O 	730907
hl	729280
 I	726401
N 	724220
o.	723804
" 	722990
n.	717026
w 	716616
nh	716545
eh	713754
:s	711132
,r	708354
-i	708236
ok	707724
go	707281
ua	698939
Te	693294
gn	691343
db	685073
rw	683094
s:	679680
ek	663291
xs	655356
ay	654192
ny	650930
qe	649091
A 	646861
bl	646801
lm	646309
T 	641692
th	636845
c,	635685
:i	631826
s-	631441
S 	627742
yi	626223
o-	623379
oo	617169
L 	616682
li	616050
e'	614733
C 	613387
gi	609524
yo	598592
nf	597269
r.	596827
,x	593779
su	592703
sw	592217
oh	582742
if	581581
t,	576488
.s	575210
rv	566520
 .	565953
dm	561286
 R	556133
r:	554527
nu	554023
 N	551845
'u	549530
oc	549111
-r	547569
dw	546296
am	546260
ET	540313
hc	540092
lw	539595
ha	537453
.-	533845
n:	531872
ur	531854
fu	531533
Er	524383
we	520666
rh	518777
tg	517407
ic	515808
n-	514272
t-	512970
np	510359
a-	508541
ey	508385
up	504509
c:	503132
:x	500409
R 	499037
wn	497808
tw	495617
ry	495496
xc	494138
br	494060
r-	493415
r,	490359
c.	487002
.i	486512
ya	481731
l-	480872
.t	478984
e"	476097
pl	475999
o,	474348
oj	474160
lv	469913
lf	468905
vn	468747
 S	466712
lp	465739
,c	464441
.p	464240
OE	462528
ys	462291
AE	461887
hd	460693
:t	460223
'x	457148
jc	457105
.r	456019
-n	453683
uf	449252
 U	445949
wa	437298
nb	436569
mu	433465
mc	431817
bg	430734
;a	427861
d.	427844
:,	427568
-.	425018
hi	424393
t:	422365
bc	420810
bn	420189
oy	415397
he	414376
 g	413190
ik	412065
bi	407157
yc	399650
 "	398069
--	391604
,"	390099
""	388950
vd	388946
bo	388811
hm	387462
og	387144
rk	384113
rq	381474
IE	380485
,o	378612
,i	377464
sv	376236
ub	376209
,p	371383
.n	369444
a,	364263
m,	361359
mm	358163
fm	358018
 L	357333
